date,url,username,content,cleaned
2022-11-30,https://twitter.com/Mewmewtho/status/1598067777126170624,Mewmewtho,"@azwarsiregar @solehuddin_plg @prabowo Kadrun sejati masih pilih Prabowo jadi capres karena ideologi mereka tetap kuat &amp; masih punya pemikiran ""kesempatan ke 2""",kadrun sejati pilih ideologi kuat pikir sempat
2022-11-30,https://twitter.com/fadhlierlanda/status/1597985385014915073,fadhlierlanda,@PrayudhaRangga @azwarsiregar @prabowo Saya masih ingat saat masa kampanye 2019 Pak Prabowo tunjukkan kemampuannya utk komunikasi dgn kalangan Islamis. Byk yg kuatir Indonesia akan jadi negara berbasis Islam klo Pak Prabowo jadi Presiden saat itu padahal bisa komunikasi dgn Islamis bukan berarti manut pada Islamis,kampanye tunjuk kemampuanya komunikasi kalang islamis kuatir negara bas islam bisa komunikasi islamis manut islamis
2022-11-30,https://twitter.com/acil_muhyidin/status/1597980430279462912,acil_muhyidin,@susipudjiastuti @KompasTV @prabowo Gini amat punya presiden.,
2022-11-30,https://twitter.com/ZimanPargaD/status/1597960776853385218,ZimanPargaD,"@Irwan2yah @DivHumas_Polri @Puspen_TNI @tni_ad @PolhukamRI @mohmahfudmd @ListyoSigitP @prabowo Betul ni? @Puspen_TNI @tni_ad ?
presiden sibuk membenahi negri ini dr MAFIA, skr ada ISU klo TNI intervensi pnangkapan mafia?
klarifikasi dgn jelaslah. Jika benar maka klean smua pengkhianat brarti",betul sibuk benah negeri mafia tentara nasional intervensi pnangkapan mafia klarifikasi benar klean khianat
2022-11-30,https://twitter.com/chandrajuni82/status/1597954288335998978,chandrajuni82,"Survey pernah memenangkan @prabowo yang jadi presiden,,hasilnya yang menang dan jadi presiden adalah @jokowi ,,lihat lembaga survey LOL.
BEGO amat sih loe....!!! https://t.co/xKbGYDIv6w",survey menang hasil menang lembaga survey lucu bego
2022-11-30,https://twitter.com/Gardabangsaa/status/1597920183469080579,Gardabangsaa,"Lembaga survei Median merilis hasil simulasi head to head capres dan cawapres di 2024
Paslon Pak @prabowo &amp; Gus @cakimiNOW mengalahkan semua paslon.
Survei dilakukan pada 9-17 November 2022 dgn teknik multistage random sampling &amp;  proporsional atas populasi provinsi dan gender. https://t.co/ZdVLBRXmHf",lembaga survei median rilis hasil simulasi head head paslon kalah paslon survei november teknik multistage random sampling proporsional populasi provinsi gender
2022-11-30,https://twitter.com/wijayantogempar/status/1597915000492142592,wijayantogempar,"@yangmi3prnew Ganjar, Anies atau siapapun pasti pendukungnya akan lari untuk bergabung bila berhadapan dgn Capres @prabowo dan Cawapres @Basuki Mentri PUPR. https://t.co/K4191udmES",pasti dukung lari gabung hadap tri pupr
2022-11-30,https://twitter.com/dimaz_adiasa/status/1597894286548537346,dimaz_adiasa,"Pak @prabowo sibuk kerja bang...  Kita ndak bs jg tutup mata.. Ndak ada sedikitpun gelagat terlihat ""merasa berpuas"" atau GR, dgn statement presiden. Kader  @Gerindra jg ndak responsif.. Soal cuap2 jkw di acara relawan, kita ndak perlu kaget mestinya.. Sdh biasa bukan?  Xixiixi https://t.co/bpZzrfSvGl",sibuk kerja bisa tutup sedikit gelagat puas gede rasa statement kader responsif cuap jkw acara rawan perlu kaget mesti xixixi
2022-11-30,https://twitter.com/lemon_oliveoil/status/1597850997019226112,lemon_oliveoil,@Gerindra @prabowo Cba yah pak ganjar sma pak prabowo jadi capres dan cawapresss jadi satu team aing dukung heheheh 😭👍,satu team dukung heheheh
2022-11-30,https://twitter.com/BIENSenator2022/status/1597801663859150849,BIENSenator2022,@Syarman59 Jika @ganjarpranowo  @PDI_Perjuangan di duetkan dengan bapak @prabowo @Gerindra maka kelar hidup ABAS dan kemungkinan cuma ada satu calon presiden di tahun #2024 karena OLIGARK akan mundur bakar duit 💯 trilyun buat ABAS karena kemungkinan kalah sangatlah besar.🤔☕,duet kelar hidup abas satu oligark mundur bakar trilyun abas kalah
2022-11-30,https://twitter.com/lucihappy11/status/1597793612095696896,lucihappy11,"@alextham878 Ya kalau PDIP yg menang pemilu harusnya yg menang yg Presiden, yg dibawahnya yg Wakil Presiden, jangan di balik. Pak @prabowo dan @Gerindra  harus sadar diri, kecuali kalau pemenang pemilunya gerinda bolehlah pak Prabowo capres nya tapi pecat dulu @fadlizon",partai demokrasi indonesia juang menang pilih menang bawah jangan sadar menang milu gerinda pecat
2022-11-29,https://twitter.com/RomitsuT/status/1597620279911788544,RomitsuT,"YTH pak @prabowo , 
Jangan sampai Bapak akan di PHP in dan dikadalin...masih mau Pak ? Gak kapok pak? 

Lawan pak....bentuk perlawanan yang bisa membuat KO mereka adalah Bapak dan Gerindra dukung dan jadikan @aniesbaswedan sebagai Capres. 

Salam, Kang Ojek.",yth jangan php dikadalin engak kapok lawan bentuk lawan bisa gerindra dukung jadi ojek
2022-11-29,https://twitter.com/dpcpkbjaksel/status/1597609702862438405,dpcpkbjaksel,"Lembaga survei Median merilis hasil simulasi head to head capres-cawapres di 2024. Hasilnya, paslon Prabowo dan Cak Imin mengalahkan semua paslon

@DPP_PKB @cakimiNOW @Gerindra @prabowo

https://t.co/ndglH3L7Iq",lembaga survei median rilis hasil simulasi head head hasil paslon cak kalah paslon
2022-11-29,https://twitter.com/rezkydoank/status/1597556337411444737,rezkydoank,@tempodotco Ada yg sudah incar jabatan kalo @prabowo  jd presiden..,incar jabat
2022-11-29,https://twitter.com/Padisya2/status/1597525086289813505,Padisya2,Jokowi mengatakan setelah ini kemungkinan Pilpres 2024 jatahnya Ketua Umum Partai Gerindra Prabowo Subianto yang merupakan rivalnya di dua pilpres sebelumnya. https://t.co/fbrMoz29Ag @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo,jokowi jatah ketua partai gerindra rival
2022-11-29,https://twitter.com/adyatma_bagass/status/1597524979662233600,adyatma_bagass,Kode Jokowi kepada Prabowo saat memberi sambutan di HUT Partai Perindo. https://t.co/H8QAgRAzmE @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo,kode jokowi sambut partai perindo
2022-11-29,https://twitter.com/kristariyanto68/status/1597500274620657666,kristariyanto68,"Kunjungan Kerja ke Jawa Timur, Presiden Jokowi Disambut Prabowo Subianto Berpakaian Merah Menyala di Juanda https://t.co/OMfiCawMqD
#Jokowi #prabowo
@jokowi @prabowo @ganjarpranowo",kunjung kerja timur jokowi sambut pakai merah nyala juanda
2022-11-29,https://twitter.com/zetoum/status/1597460625579397120,zetoum,"@prabowo 2024 Prabowo-Ganjar
Presiden dan Wakil Presiden RI
Pasti menang...",pasti menang
2022-11-29,https://twitter.com/Udin_prabowo/status/1597453207563030528,Udin_prabowo,"@anwaribrahim Jika indonesi 2024 yg jadi presiden pak @prabowo  atau pak @aniesbaswedan maka sangat banyak kesaman &amp; tambah samakin erat hubungan malaysia indonesia...
Semoda sehat selalu DSAI 🤲🤲🤲",kesam samakin erat hubung malaysia semoda sehat dsai
2022-11-29,https://twitter.com/pph_online/status/1597418878195630080,pph_online,"@prabowo Pak menhan udah tau blm berita ini?
https://t.co/cYvnqRbi3k

Aksi Kepala BP2MI Benny Rhamdani meminta izin tempur untuk melawan oposisi kepada Presiden Jokowi menjadi kontroversi. Benny buka-bukaan soal aksinya tersebut.",menhan belum berita aksi bp beny rhamdani izin tempur lawan oposisi jokowi kontroversi beny aksi
2022-11-29,https://twitter.com/Kang_Ujar/status/1597403136888811520,Kang_Ujar,"@bengkeldodo @prabowo Yg pasti² aja ya mas, bangun negeri gak harus 3kali capres.😁",pasti bangun negeri engak
2022-11-28,https://twitter.com/arhdat_tanjung/status/1597077107540385792,arhdat_tanjung,"@prabowo Semangat pagi Pak, Bapak boleh berambisi, tapi saran saya Jangan lagi berambisi ingin jadi Presiden atau Wakil Presiden..., Kasilah kesempatan buat yang lebih muda. Yang sudah Tua-tua cukuplah jadi Penasehat supaya gak Kaget-kagetan dan Planga Plongo.",semangat pagi boleh ambisi saran jangan ambisi ingin kasi sempat muda nasehat engak kaget kaget planga plongo
2022-11-28,https://twitter.com/BlackliztHunter/status/1597065337337700357,BlackliztHunter,"@BoyRembaya @PartaiSocmed @BennyKeef @gjadi_sendirian @kkpgoid @serdaduwarteg @prabowo @airlangga_hrt @puanmaharani_ri @jokowi panutan bagi pejabat di Negeri ini 
semoga ibu @susipudjiastuti dapat menjadi Presiden di 2024 🤲🙏 
punya integritas, tulus &amp; ikhlas dalam mengabdi bagi masyarakat, Bangsa &amp; Negara 🇮🇩",panutan jabat negeri moga integritas tulus ikhlas abdi masyarakat bangsa negara
2022-11-28,https://twitter.com/AyangCakep/status/1597046160111198208,AyangCakep,"Aku sebagai warga punya hak untuk mengkritisi pemerintah, siapapun presidennya.

Mau @aniesbaswedan @prabowo @ganjarpranowo @airlangga_hrt atau siapapun nanti yg jadi presiden tidak terkecuali.

Ingat ya mengkritis kebijakan, bukan menghina personal, krn menghina bukan sebuah hak https://t.co/bXSCgJEQCF",warga kritisi perintah presidenya kecuali kritis bijak hina personal hina
2022-11-28,https://twitter.com/Dimasjoko12/status/1597028946121351169,Dimasjoko12,"@prabowo Semangat Pak, semoga sehat selalu, jng lupa ntar kalau Nyapres lagi, statemen bahwa bapak tidak akan sepeserpun ambil Gaji Presiden, fasilitas udah cukup pak",semangat moga sehat jangan statemen peser gaji fasilitas
2022-11-27,https://twitter.com/Sobirin_ganteng/status/1597013783029116928,Sobirin_ganteng,"Memang ada ""pasukan"" yg ingin menyerang Presiden @mohmahfudmd @ListyoSigitP @Puspen_TNI @prabowo @ReflyHZ @msaid_didu https://t.co/RLYssZHvgV",pasu ingin serang
2022-11-27,https://twitter.com/Razzz___N7678/status/1596991907770826753,Razzz___N7678,"@prabowo Ada yang berkesan pak itu acara di GBK tentang ucapan pak Presiden ""Pilih pemimpin yang keningnya Kerutan dan rambut Ubanan.",kesan acara gbk ucap pilih pimpin kening kerut rambut uban
2022-11-27,https://twitter.com/TooArfian/status/1596863580527538176,TooArfian,@prabowo kali ini 2024 pak bowo yg kd presiden,
2022-11-27,https://twitter.com/detikerr/status/1596839182751567872,detikerr,"@korantempo @jokowi  @ganjarpranowo  @aniesbaswedan @prabowo   Rakyat sdh pintar ooiiih, tidak milih presiden dari warna rambut dan kerutan wajahnya, tapi milih yg JUJUR dan berani membela keadilan seperti Alvin Lim.  https://t.co/SNf9ZR05Xc",rakyat pintar oih pilih warna rambut kerut wajah pilih jujur berani bela adil alvin
2022-11-27,https://twitter.com/cgtrisanjaya/status/1596799661549182978,cgtrisanjaya,"@jokowi Yang ini nggak layak jadi Presiden di 2024.
Muka cling, rambut hitam klimis. Senyum Mulu.
Pasti suka ngadem di istana nanti. Nggak suka turun ke lapangan.
@NasDem @Pak_JK @PDI_Perjuangan 
@prabowo https://t.co/zXjqSrJBR2",engak layak muka cling rambut hitam klimis senyum melulu pasti suka ngadem istana engak suka turun lapang
2022-11-27,https://twitter.com/JTabiang/status/1596793088043024385,JTabiang,@andre_rosiade @tifsembiring @prabowo Titip salam sama Pak @aniesbaswedan ya Bang @andre_rosiade semoga Pak Anies jadi Presiden 2024..,titip moga
2022-11-27,https://twitter.com/VictoryMedalli1/status/1596783288471146501,VictoryMedalli1,@Dahnilanzar @prabowo Ini rival Presiden yg kini jd menteri itu ya?,rival menteri
2022-11-27,https://twitter.com/gilangnaveed/status/1596782635631620096,gilangnaveed,@4zuurr444_05h1N @DanielSentanu @jokowi @prabowo @Gerindra Juara capres terpanjang didunia 😭👍,juara panjang dunia
