date,url,username,content,cleaned,cleaned_en,polarity,label
2022-11-30,https://twitter.com/hermanedy7/status/1598104276215033856,hermanedy7,"@aniesbaswedan assalamualaikum wr.wb. sehat selalu calon presiden ku, salam dari Praya Lombok tengah, warga loteng siap memenangkan bapak menuju RI 2024, minta doanya agar kami trus berjuang disini.",asalamualaikum wr wb sehat praya lombok warga loteng siap menang doa juang,asalamualaikum wr wb healthy praya lombok loft residents ready to win fighting prayers,0.5,Positif
2022-11-30,https://twitter.com/DMoerhadio/status/1598098748197851138,DMoerhadio,@medcom_id @aniesbaswedan Kl berani tarohan ! Anis gk akan terpilih jd Presiden.,berani tarohan engak pilih,dare to bet not to choose,0.0,Netral
2022-11-30,https://twitter.com/yuana_JOEKUR/status/1598073308440072192,yuana_JOEKUR,"@WagimanDeep212_ @aniesbaswedan Walah sama aja org ga pantes jd presiden, biar aja🤣🤣🤣",walah engak,nope,0.0,Netral
2022-11-30,https://twitter.com/Latif_AS/status/1598013619018829824,Latif_AS,"@EdigemborGe @yoe_mas @aniesbaswedan @kahminasionalRI Kalau soal banjir bisa panjang ceritanya. 
Bicara Anies soal capres, kiranya siapa kandidat capres lainnya yang layak?",banjir bisa cerita bicara lai layak,flooding can tell a decent story,0.16666666666666666,Positif
2022-11-30,https://twitter.com/stubsky/status/1597997749093662721,stubsky,"Mengapa @Kemlu_RI tidak mengomentari Hari Solidaritas Internasional untuk Palestina yg jatuh pd tanggal 29 Nov tiap tahun?

Apakah @Menlu_RI takut dimarahi oleh @SecBlinken🇺🇲? Eh tapi bahkan @aniesbaswedan yang katanya Capres Muslim pun diam sih. 

#Palestina #FreePalestine 🇵🇸 https://t.co/0qnexBbm5W",komentar solidaritas internasional palestina jatuh tangal nov takut marah muslim diam,comments international solidarity palestine falls nov date scared angry muslims silent,-0.16666666666666666,Negatif
2022-11-30,https://twitter.com/judichung1/status/1597985859198156801,judichung1,@regar_0p0sisi @aniesbaswedan prabowo presiden...para kader menjawab Aminn....oposisipun keceewa,kader oposisi kecewa,disillusioned opposition cadres,0.0,Netral
2022-11-30,https://twitter.com/Herman03575306/status/1597972921850679296,Herman03575306,@SKHery8 @aniesbaswedan Takut ga bisa makan uang haram lagi kalau Anis Baswedan jadi presiden,takut engak bisa makan haram,I'm afraid I can't eat haram,-0.6,Negatif
2022-11-30,https://twitter.com/AsalBerkata/status/1597956570432016384,AsalBerkata,@WagimanDeep212_ @aniesbaswedan Musni calon Mentri sekretariat negara...atau jubir istana.kalo Anies jd presiden,musni tri sekretariat negara juru bicara istana,musni tri state secretariat spokesperson for the palace,0.0,Netral
2022-11-30,https://twitter.com/Jumria3Jumriadi/status/1597953558095462402,Jumria3Jumriadi,"@BradHarizz @jokowi @aniesbaswedan @ganjarpranowo Bisa jadi capres aja belum, banyak omong... https://t.co/khmR3I1Egy",bisa belum,maybe not,0.0,Netral
2022-11-30,https://twitter.com/LorNegoro/status/1597939741319925760,LorNegoro,"@PartaiSocmed @aniesbaswedan Krn ente dkung capres lain,kmdian ente bkin cuitan kek gini........
Ente brasa independen pdhl sama skali enggak.....
Ngopi dulu bro....biar kewarasanmu kembali normal",dkung kmdian cuit asa independen ngopi saudara waras normal,support then independent tweets drinking coffee normal sane brothers,0.075,Positif
2022-11-30,https://twitter.com/jackkece2/status/1597932354823401473,jackkece2,"@JoeWongJaVa @ChusnulCh__ @aniesbaswedan Jembut,memang dia niatnya mau jadi presiden..hidup anies...hidup anies...",jembut niat hidup hidup,pick up the intention to live alive,0.11818181818181818,Positif
2022-11-30,https://twitter.com/BD3sa/status/1597916253901172738,BD3sa,"@aniesbaswedan @kahminasionalRI @aniesbaswedan cuma hadir dan hadir kegiatan 1 agama doank, gk cocok jadi presiden",hadir hadir giat agama doang engak cocok,attending to religious activities just isn't suitable,0.275,Positif
2022-11-30,https://twitter.com/suryadinst63/status/1597903197104140290,suryadinst63,"Selamat Datang
Bapak H. Anies Rasyid Baswedan, S.E., M.P.P., Ph.D
Calon Presiden Partai NasDem 2024
Di Bumi Lancang Kuning
#takkanhilangmelayudibumi
@aniesbaswedan 

Salam Restorasi.

#AniesBaswedan #AniesPresidenku #PartaiNasDem https://t.co/7RrvIuUS6v",selamat rasyid ph partai nasdem lancang kuning restorasi,"Congratulations Rasyid PH of the Nasdem party, sassy yellow, restoration",0.0,Netral
2022-11-30,https://twitter.com/IanPrihatmanto/status/1597890069570154496,IanPrihatmanto,@B171Jakarta waduh... kok malah mo nyalon presiden sendiri om? katanya dukung mas @aniesbaswedan 🫣,nyalon dukung,support,0.0,Netral
2022-11-30,https://twitter.com/aniesnasional/status/1597882617244024832,aniesnasional,"Persiapan teman-teman presidium An-Nas wilayah Riau menyambut kedatangan calon presiden RI 2024 di Bumi Lancang Kuning Kota Pekanbaru tgl 4 Desember dan tgl 5 Desember 2022...

@ArdiRiau3
@aniesbaswedan
@fahiraidris
@jansen_jsp

#143Anies 
#AniesNasional 
#AniesPresiden2024 https://t.co/WQpv8oplI3",siap teman teman presidium wilayah riau sambut datang lancang kuning kota pekanbaru tangal desember tangal desember,"ready, friends, the presidium for the Riau region, welcome to come, sassy yellow, Pekanbaru city, December date, December date",0.3333333333333333,Positif
2022-11-30,https://twitter.com/Lusiy4439Yana/status/1597862439629905921,Lusiy4439Yana,@olvaholvah @aniesbaswedan @NasDem Insya Allah jika pemilu nanti pak anies capres aq pilih dia,pilih pilih,select select,0.0,Netral
2022-11-30,https://twitter.com/ndi_susanto/status/1597836201247256576,ndi_susanto,@RintoSiswanto6 @NasDem @DPWNasDemJKT @aniesbaswedan Capres ditukar... pemain sinetron kok jd capres   ....kalo wapresnya yg jd capres baru mantap..,tukar main sinema elektronik wapresnya baru,replace the new wapres electronic cinema,0.13636363636363635,Positif
2022-11-30,https://twitter.com/clearholder88/status/1597831613295263746,clearholder88,@PartaiSocmed @aniesbaswedan Makanya unpopular opinion yg byk org gak suka. Gandengin ajah Anies-Puan. Asal Anies Capres bukan Cawapres,unpopular opinion engak suka gandengin puan,unpopular opinion I don't like working with you,0.0,Netral
2022-11-30,https://twitter.com/MunThe_4aul/status/1597828602594488320,MunThe_4aul,@ismailfahmi Tunggu mas @ismailfahmi  setelah pak @aniesbaswedan menjadi Presiden RI,tungu,wait,0.0,Netral
2022-11-30,https://twitter.com/DRiblain/status/1597822603632476160,DRiblain,@medcom_id @aniesbaswedan saya akan benar2 berfikir rasional saat jajaran capres dan cawapresnya udah mulai kelihatan.,benar benar pikir rasional jajar cawapresnya,really think rationally cawapresnya ranks,0.2,Positif
2022-11-30,https://twitter.com/eraldo_saegusa/status/1597816008311394305,eraldo_saegusa,"@PartaiSocmed @aniesbaswedan ""wasit""
Iya tuh. Ketua KPU-nya pengurus ormas besar, ormas itu lagi dirayu capres dan partai lain...",wasit ketua kpu urus ormas ormas rayu partai,the chairman of the kpu referee takes care of mass organizations seducing the party,0.0,Netral
2022-11-30,https://twitter.com/ulliesantos/status/1597781078248288258,ulliesantos,"@aniesbaswedan @kahminasionalRI orasi kebangsaan apa ORASI TIPU2
masa kita mau punya presiden tukang tipu
tunjukin dimn itu lab super modern yg lu bilang https://t.co/4tUPGqw4pB",orasi kebangsan orasi tipu tukang tipu tunjuk dimn lab super modern,national speech oration deceitful conman pointing where is the super modern lab,0.26666666666666666,Positif
2022-11-30,https://twitter.com/KaDeN_2772/status/1597777639770816512,KaDeN_2772,@aniesbaswedan @kahminasionalRI memang layak jad presiden ke 2024,layak,worthy,0.3333333333333333,Positif
