date,url,username,content,cleaned,cleaned_en,polarity,label
2022-11-30,https://twitter.com/koecing_pasar/status/1598100080804102144,koecing_pasar,"@ganjarpranowo Gubernur yg jelas visi kebangsaannya terhadap kaum intoleran, tp ada bekas gubernur yg gak jelas visi kebangsaannya saat 5th menjabat tiba² krn mau jd presiden dia teriak akan menindak kaum intoleran.
🤣🤪😂
srinthil... https://t.co/7mdaPcZclE",gubernur jelas bangsa kaum intoleran bekas gubernur engak jelas bangsa jabat tindak kaum intoleran srinthil,"the governor is clearly the nation of intolerant people, the former governor is not clear about the nation, the actions of the intolerant srinthil",0.01666666666666667,Positif
2022-11-30,https://twitter.com/mistya80810644/status/1597996202167263233,mistya80810644,"@DoankWarto Percayalah NKRI
org² yg cerdas dan bijak dalam mengusung capres nya di 2024 💃
Jgn khawatir,abaikan org yg PD sibuk menghujad,memfitnah, menghakimi @jokowi ,@ganjarpranowo yg jelas jika tdk lanjud 3 periode,lanjud kan si uban ganteng 😄😄😄😄😄",percaya cerdas bijak usung jangan khawatir abai sibuk menghujad fitnah hakim jelas lanjud periode lanjud uban ganteng,"believe, smart, wise, stretcher, don't worry, ignore being busy blaspheming the judge's slander, it's clear that the period of gray hair is continuing, handsome",0.32285714285714284,Positif
2022-11-30,https://twitter.com/NikoAgustian16/status/1597979751398141953,NikoAgustian16,"@ganjarpranowo Pak kalo bapak jadi presiden,Portugal menang pildun",portugal menang pildun,Portugal won Pildun,0.0,Netral
2022-11-30,https://twitter.com/_NusantaraKu/status/1597972473378504705,_NusantaraKu,"@Nailazaara__ @ganjarpranowo @erickthohir Sepakat, pasangan ideal untuk meneruskan estafeta pembangunan Presiden jokowi

#BangkitBersamaET",sepakat pasang ideal terus estafeta bangun jokowi,agreed to install the ideal then relay up Jokowi,0.9,Positif
2022-11-30,https://twitter.com/Priskila0925/status/1597962590436851712,Priskila0925,@ganjarpranowo @KPK_RI sehat sehat calon Presiden ku maju terus,sehat sehat,healthy healthy,0.5,Positif
2022-11-30,https://twitter.com/Jumria3Jumriadi/status/1597953558095462402,Jumria3Jumriadi,"@BradHarizz @jokowi @aniesbaswedan @ganjarpranowo Bisa jadi capres aja belum, banyak omong... https://t.co/khmR3I1Egy",bisa belum,maybe not,0.0,Netral
2022-11-30,https://twitter.com/abahjojo_/status/1597950402862858240,abahjojo_,"Sepuluh Besar Capres di Ajang Pilpres 2024, Nama @ganjarpranowo kokoh di puncak https://t.co/VjKHseBn45",puluh ajang kokoh puncak,tens of peak sturdy arenas,0.0,Netral
2022-11-30,https://twitter.com/nahi_munkar_/status/1597947170963222530,nahi_munkar_,"@Tan_Mar3M @ganjarpranowo gubernur unfaedah.
Jangankan jadi presiden, jadi bacapres pun tak layak didukung.",gubernur unfaedah bacapres layak dukung,unfaedah governor readpres worthy of support,0.3333333333333333,Positif
2022-11-30,https://twitter.com/15_angka/status/1597946751625089024,15_angka,@ganjarpranowo Semoga jadi presiden pak 🥲,moga,hopefully,0.0,Netral
2022-11-30,https://twitter.com/tukangbotol/status/1597923576409370624,tukangbotol,"@diksi_id @andajauh_ @Intel_ORBA Makanya mereka mati2an @aniesbaswedan nggak nyalon, klo Anies nggak nyalon @ganjarpranowo ga diperlukan, PDIP pasti menang lagi dg @puanmaharani_ri jadi capres",engak nyalon engak nyalon engak partai demokrasi indonesia juang pasti menang,"don't run, don't run, don't the Indonesian democratic party fight for sure to win",0.65,Positif
2022-11-30,https://twitter.com/Suma80985864Edy/status/1597899843800018944,Suma80985864Edy,@GheaJhana @ganjarpranowo Andaikan ini jadi presiden..... https://t.co/jjc7NzOyqH,andai,if,0.0,Netral
2022-11-30,https://twitter.com/dianrochmulyat2/status/1597876344649814016,dianrochmulyat2,@ganjarpranowo Ya Allah lindungilah dan jadikanlah pak Anies Rasyid Baswedan menjadi Presiden RI Aamiin,lindung jadi rasyid,protect so rashid,0.0,Netral
2022-11-30,https://twitter.com/zuraidbima/status/1597869640088420352,zuraidbima,"#Pilpres2024 
@aniesbaswedan dipilih oleh Partai Modern dengan Pimpinan Surya Paloh @NasDem Seakan tidak mau Kalah meskipun tidak jelas pak @jokowi memberi sinyal dukungannya pada Mas @ganjarpranowo !
Terasa aneh tapi nyata, Puluhan bahkan Ratusan Milyar Biayanya !",pilih partai modern pimpin surya paloh akan kalah jelas sinyal dukunganya asa aneh nyata puluh ratus milyar biaya,"Vote for a modern party, led by Surya Paloh, will lose clearly, the signal of his support is odd, real tens of hundreds of billions of costs",0.08333333333333334,Positif
2022-11-30,https://twitter.com/ErikS_2601/status/1597843470785601536,ErikS_2601,@Tan_Mar3M Katanya mau jadi presiden bung @ganjarpranowo??..wkwkwkwk.,wkwkwkwk,wkwkwkwk,0.0,Netral
2022-11-30,https://twitter.com/Greendboyz/status/1597841470396207105,Greendboyz,"@umarhasibuan757 @ganjarpranowo Sekelas GUBERNUR ngomongin beking2an,, Cape dh,, kan tgal nerapkan PERATURAN,, Klo misalkan PRESIDEN yg jd beking tgl di segel aje,, mg bs apa mereka tkg beking? Anda d pilih oleh rqkyat,, bukan mereka,,",kelas gubernur omong beking capek tgal nerapkan atur beking tangal segel moga bisa tukang beking pilih rqkyat,governor class talk backing tired date apply set backing date seal hopefully can backing man choose rqkyat,-0.4,Negatif
2022-11-30,https://twitter.com/richhearth/status/1597831388543455232,richhearth,@HidayatulAziz28 @sewoko_elnoor @jokowi @ganjarpranowo @psi_id Emang Anies diusung Partai Berapa koma.. Udah ada 20%..hahhaa..ente rada2 yah.. Kadang2 Halu nya kebangetan... padahal mau Mencapai 20% aja belum beress... Koalisi belum beres. Mudah copas capres kemana2.. Giliran ntr ga jadi.. Ngamuk protesnya ke Pemerintah.. Kan asuu,usung partai koma haha rada kadang kadang halu banget capai belum beres koalisi belum beres mudah copas gilir engak ngamuk protes perintah,"stretcher coma party haha ​​sometimes it's a bit embarrassing to say the least, the coalition hasn't been sorted out, the coalition hasn't been sorted out, it's easy to take turns, don't go berserk, protest orders",0.05833333333333334,Positif
2022-11-30,https://twitter.com/Raffi04241376/status/1597808574205657089,Raffi04241376,"@ganjarpranowo Saran dan masukan buat para Kyai, Ulama, Habib dan Para Habaib, Jika ada Capres yang Berkunjung dan Sowan, Coba sekali2 Capresnya disodorin Al-Qur' an untuk Diminta Ngaji, Agar Rakyat Tahu Apakah Capresnya Bener2 Orang  yang Taat Beragama?.
Jangan cuman salaman dan foto2 doang.",saran masuk kyai ulama habib habaib kunjung sowan capresnya disodorin qur aji rakyat capresnya benar benar agama jangan cuma salam foto foto,"Suggestions to enter Kyai Ulama Habib Habaib Visit Sowan, the presidential candidate is presented with the Quranic verses of the people, the presidential candidate is really religious, don't just greet photos",0.0,Netral
2022-11-30,https://twitter.com/_dedek__1209/status/1597803238824509441,_dedek__1209,"@LekMarteg @ganjarpranowo Bang cyiiin... mana ada arjuna jombloh...???
🤦‍♀️🤦‍♀️🤦‍♀️

Ayoooo... kita dukung pak @ganjarpranowo memerankan arjuna... sblm jd presiden di 2024",cinta arjuna jombloh dukung peran arjuna,"arjuna's love is single, support arjuna's role",0.2142857142857143,Positif
2022-11-30,https://twitter.com/Yuken50317915/status/1597791117164306433,Yuken50317915,@YUDHI_Laksana @ganjarpranowo Baru sekarang karena Saya Capres 2024 nanti.,baru,new,0.13636363636363635,Positif
2022-11-30,https://twitter.com/Deddyash1/status/1597765929953538048,Deddyash1,@Alves_Ag88 @ChusnulCh__ @jokowi @ganjarpranowo Jangan pilih presiden boneka dari presiden sebelumnya jadi jongos oligarki.,jangan pilih boneka jongos oligarki,don't vote for oligarchic minions,0.0,Netral
2022-11-30,https://twitter.com/OmHardiman/status/1597765483758878721,OmHardiman,"@RijieqA @Iswanto31700503 @ganjarpranowo Pada prinsipnya umat tertentu menggalang dukungan pada kandidat capres tertentu monggo silahkan, umat islam menggalang dukungan pemimpin tertentu pun tak masalah",prinsip umat alang dukung mongo sila umat islam alang dukung pimpin masalah,The principle of the people of Alang is to support mongo sila. The Muslims of Alang are to support the problem,0.0,Netral
2022-11-30,https://twitter.com/hsuf/status/1597757745985245184,hsuf,"@penguasahati @ganjarpranowo Kok jadi deja vu, seperti seorang eks presiden dari partai biru.... 😅",deja vu partai biru,blue party deja vu,0.0,Netral
2022-11-29,https://twitter.com/pdo3004/status/1597717176060096514,pdo3004,"@Sejulfica1 @ganjarpranowo Biasakan cermat membaca, mendengar dng detik bukan sepotong2. Yg disampaikan pak Jokowi ada kata ADA dan SAMPAI, artinya TDK semua orang yg dahi berkerut dan rambut putih bisa jadi Pemimpin. Tpi bisa jadi yg hny pandai merangkai kata dan lancar bhs Inggris TDK layak jd Capres",biasa cermat baca dengar detik potong jokowi dahi kerut rambut putih bisa pimpin bisa pandai rangkai lancar bahasa ingris layak,"usually read carefully, listen to seconds, cut Jokowi, forehead, wrinkles, white hair, can lead, can be good at arranging, fluent English, decent",0.0861111111111111,Positif
2022-11-29,https://twitter.com/wedang212/status/1597710783475249153,wedang212,"@Miduk17 Kalau @aniesbaswedan sudah di ajukan sebagai calon presiden oleh @NasDem walaupun belum memenuhi PT 20%. Lah kalau @ganjarpranowo partai mana yang sudah mendeklarasikannya?
Partai @PDI_Perjuangan sendiri belum mengumumkan calonnya.",aju belum penuh partai mendeklarasikanya partai belum umum calo,Aju is not yet full of parties declaring that parties are not yet public brokers,0.175,Positif
2022-11-29,https://twitter.com/AbdulNewsId/status/1597705035169009664,AbdulNewsId,"@ganjarpranowo Ulama dan Habaib cuma dijadikan pendorong untuk memikat hati orang islam di Indonesia, kalau sudah jadi Presiden mereka langsung ditinggalkan, seperti yg sekarang aja dia jadi AFK. Sejak dia jadi Wapres gwa gak tau apa pengaruh positifnya di Pemerintahan untuk rakyat😪😪",ulama habaib jadi dorong mikat hati islam langsung ditingalkan afk gwa engak pengaruh positif perintah rakyat,"The Habaib Ulama encouraged me to attract the hearts of Islam and immediately left Afk, I didn't have a positive influence on the people's orders",0.11363636363636363,Positif
2022-11-29,https://twitter.com/tegaxdirimu/status/1597647547459256320,tegaxdirimu,@awituchuz @regar_0p0sisi @ganjarpranowo ni cebi laknat pengen si bokeper jd presiden ye?biar ngebokep dhalalin dan legal kan NJING?😂😂😂dasar fans 🌈 laknat lo!!!ini pasti foto kakek lo kan???😂😂😂🖕🖕🖕 https://t.co/xPzMNsyqf5,cebi laknat bokeper ngebokep dhalalin legal njing dasar fan laknat pasti foto kakek,cebi cursed bokeper fucking legal dhalalin njing base fan anathema definitely grandpa's photo,-0.20000000000000004,Negatif
