date,url,username,content,cleaned,cleaned_en,polarity,label
2022-11-30,https://twitter.com/Mewmewtho/status/1598067777126170624,Mewmewtho,"@azwarsiregar @solehuddin_plg @prabowo Kadrun sejati masih pilih Prabowo jadi capres karena ideologi mereka tetap kuat &amp; masih punya pemikiran ""kesempatan ke 2""",kadrun sejati pilih ideologi kuat pikir sempat,true kadrun choose a strong ideology think once,0.3916666666666666,Positif
2022-11-30,https://twitter.com/fadhlierlanda/status/1597985385014915073,fadhlierlanda,@PrayudhaRangga @azwarsiregar @prabowo Saya masih ingat saat masa kampanye 2019 Pak Prabowo tunjukkan kemampuannya utk komunikasi dgn kalangan Islamis. Byk yg kuatir Indonesia akan jadi negara berbasis Islam klo Pak Prabowo jadi Presiden saat itu padahal bisa komunikasi dgn Islamis bukan berarti manut pada Islamis,kampanye tunjuk kemampuanya komunikasi kalang islamis kuatir negara bas islam bisa komunikasi islamis manut islamis,The campaign demonstrates its ability to communicate among Islamic groups who are worried that the Bas-Islamic State will be able to communicate Islamically according to Islamists,0.5,Positif
2022-11-30,https://twitter.com/ZimanPargaD/status/1597960776853385218,ZimanPargaD,"@Irwan2yah @DivHumas_Polri @Puspen_TNI @tni_ad @PolhukamRI @mohmahfudmd @ListyoSigitP @prabowo Betul ni? @Puspen_TNI @tni_ad ?
presiden sibuk membenahi negri ini dr MAFIA, skr ada ISU klo TNI intervensi pnangkapan mafia?
klarifikasi dgn jelaslah. Jika benar maka klean smua pengkhianat brarti",betul sibuk benah negeri mafia tentara nasional intervensi pnangkapan mafia klarifikasi benar klean khianat,"really busy fixing the mafia country, the national army intervenes, arrests the mafia, clarifies the truth, the clan is treason",0.1,Positif
2022-11-30,https://twitter.com/chandrajuni82/status/1597954288335998978,chandrajuni82,"Survey pernah memenangkan @prabowo yang jadi presiden,,hasilnya yang menang dan jadi presiden adalah @jokowi ,,lihat lembaga survey LOL.
BEGO amat sih loe....!!! https://t.co/xKbGYDIv6w",survey menang hasil menang lembaga survey lucu bego,survey wins winning results stupid funny survey agency,0.06250000000000003,Positif
2022-11-30,https://twitter.com/Gardabangsaa/status/1597920183469080579,Gardabangsaa,"Lembaga survei Median merilis hasil simulasi head to head capres dan cawapres di 2024
Paslon Pak @prabowo &amp; Gus @cakimiNOW mengalahkan semua paslon.
Survei dilakukan pada 9-17 November 2022 dgn teknik multistage random sampling &amp;  proporsional atas populasi provinsi dan gender. https://t.co/ZdVLBRXmHf",lembaga survei median rilis hasil simulasi head head paslon kalah paslon survei november teknik multistage random sampling proporsional populasi provinsi gender,"The median survey agency released the results of the head head simulation for pairs of candidates who lost the November survey, multistage random sampling technique, proportional population, gender, province",-0.5,Negatif
2022-11-30,https://twitter.com/wijayantogempar/status/1597915000492142592,wijayantogempar,"@yangmi3prnew Ganjar, Anies atau siapapun pasti pendukungnya akan lari untuk bergabung bila berhadapan dgn Capres @prabowo dan Cawapres @Basuki Mentri PUPR. https://t.co/K4191udmES",pasti dukung lari gabung hadap tri pupr,definitely support running and joining tri pupr,0.0,Netral
2022-11-30,https://twitter.com/dimaz_adiasa/status/1597894286548537346,dimaz_adiasa,"Pak @prabowo sibuk kerja bang...  Kita ndak bs jg tutup mata.. Ndak ada sedikitpun gelagat terlihat ""merasa berpuas"" atau GR, dgn statement presiden. Kader  @Gerindra jg ndak responsif.. Soal cuap2 jkw di acara relawan, kita ndak perlu kaget mestinya.. Sdh biasa bukan?  Xixiixi https://t.co/bpZzrfSvGl",sibuk kerja bisa tutup sedikit gelagat puas gede rasa statement kader responsif cuap jkw acara rawan perlu kaget mesti xixixi,"being busy at work can close a little, the attitude is satisfied, the taste of the cadre's statement is quite responsive, if the event is prone to being shocked, you have to be xixixi",-0.071875,Negatif
2022-11-30,https://twitter.com/lemon_oliveoil/status/1597850997019226112,lemon_oliveoil,@Gerindra @prabowo Cba yah pak ganjar sma pak prabowo jadi capres dan cawapresss jadi satu team aing dukung heheheh 😭👍,satu team dukung heheheh,one team support heheheh,0.0,Netral
2022-11-30,https://twitter.com/BIENSenator2022/status/1597801663859150849,BIENSenator2022,@Syarman59 Jika @ganjarpranowo  @PDI_Perjuangan di duetkan dengan bapak @prabowo @Gerindra maka kelar hidup ABAS dan kemungkinan cuma ada satu calon presiden di tahun #2024 karena OLIGARK akan mundur bakar duit 💯 trilyun buat ABAS karena kemungkinan kalah sangatlah besar.🤔☕,duet kelar hidup abas satu oligark mundur bakar trilyun abas kalah,duet lasts for one term oligarchs step down and burn trillions for defeat,-0.15555555555555559,Negatif
2022-11-30,https://twitter.com/lucihappy11/status/1597793612095696896,lucihappy11,"@alextham878 Ya kalau PDIP yg menang pemilu harusnya yg menang yg Presiden, yg dibawahnya yg Wakil Presiden, jangan di balik. Pak @prabowo dan @Gerindra  harus sadar diri, kecuali kalau pemenang pemilunya gerinda bolehlah pak Prabowo capres nya tapi pecat dulu @fadlizon",partai demokrasi indonesia juang menang pilih menang bawah jangan sadar menang milu gerinda pecat,"the Indonesian democratic party fights to win, choose to win, don't be aware of winning, milu, grinding, fired",0.5875,Positif
