features,g1,g2
Intersep,-0.7914605542443801,-0.07533304169107433
abadi,-0.45550822632605437,-0.22120420040306307
abai,-0.10388102907531345,-0.2789868845192021
abak,-0.06014128559439779,0.09729114460532019
abal,0.10620637365816114,-0.03198535219712296
abang,-0.01990034863215087,0.06817417440794686
abas,0.0965445700995286,0.19184360306784687
abd,-0.03905615505346846,0.1330055090349367
abdai,-0.02281677818647744,0.14008201403360657
abdi,-0.26160090060122776,-0.10303920549237607
abdu,-0.04304839540668915,-0.10943882277260274
abdul,0.17751689282916006,0.08306928444426713
abies,-0.06657642266012204,-0.16926617615429024
abis,-0.04274470007598095,0.12925143969759365
abjan,-0.04257900019529316,0.26835134100008057
abon,-0.06550460198118888,0.3452326940080376
abrek,-0.06376508503891898,-0.10057585317008608
absolut,-0.13710491459189414,0.15341014626334573
abud,0.5173713653578292,-0.10176033434194935
abujanda,0.16058561825640913,-0.1242554833849577
abun,-0.055593815835976404,-0.0958212125245117
abut,-0.14253529746034332,-0.3921638479295278
abw,-0.14340325697802103,-0.0623246996490151
academy,0.11711448017168859,-0.04531215810004802
acak,-0.09520076009491454,0.18972351064655468
acakadut,0.459906345729722,-0.17630448419029177
acan,-0.019197365903322845,-0.02967881263340938
acara,-0.3173613847069548,0.6485919362352344
aceh,-0.23213568686352257,0.19326095972495924
ach,0.2256165062858232,-0.0619043063449233
aco,0.021816856104368922,0.07951182886907925
aconply,-0.03036537369477214,0.04053488357068589
acord,-0.031037599903618044,0.12628724238040062
act,-0.15196715591460588,-0.17745108149609284
acting,-0.17438194836960114,-0.043409720147050614
acuanya,-0.02369824771688859,0.08683526769105834
acuh,-0.053085062902280246,-0.07743677207473998
acuhin,-0.13209708589003502,0.24511420785698385
acung,0.24911530697022133,-0.11740478398439877
ada,-0.142444677853104,0.5286781713870036
adab,0.13494236124215236,-0.00901923405398953
adalh,-0.06085003535976117,0.20214835492973388
adam,-0.05153049978067403,0.08169873596463888
adan,-0.19101276036171846,0.16869588996468354
adang,-0.06358537483472441,-0.09071164731980946
adapartai,-0.040104176469447646,0.1177869254056651
adaptasi,-0.03240976089065646,0.06033726162602156
adat,-0.07166148308405207,0.034803909025766945
adek,-0.25898913906696974,-0.08720381803119859
adem,-0.35061887498992406,1.4009186710392587
adi,-0.02131173195529387,0.03419462657736607
adidaya,-0.019505887939115195,0.10359894844051229
adil,-0.6328079571042257,1.992507507653276
admin,0.08136621110157345,-0.16590756239107549
administrasi,-0.06274584140304067,-0.102100522729875
ado,0.2304152446445507,-0.06402680563504848
adop,-0.0462919921615564,-0.13318818510890787
adu,0.49818640914500545,-0.35321731487177904
aduh,0.13128391369270526,0.19154381234225187
aduk,0.16339650637394162,-0.09198900232505378
advent,-0.05350650801328803,-0.06555673527237621
adzan,0.31896829181506026,-0.11353588422185652
aemiga,-0.03382344884560075,0.32860991891380253
aenies,-0.045995716146619785,-0.08019582067354379
aernya,-0.04541651569254323,-0.07353122674994843
aetuju,-0.032511961761163055,0.11571275187134522
afganistan,0.15379944015813357,-0.3695391122292717
afghan,-0.046032722389819584,0.23389745454101496
afghanistan,-0.17581966543663544,0.12835664468539507
afiat,-0.041949298024033174,0.2343778423976716
afiliasi,-0.02541042167654917,-0.10352055350313039
afin,-0.05397267931567601,-0.10068400118395922
afrika,0.23636047667594448,-0.1420952394565363
aga,-0.06133140059215635,-0.15782121564279258
agal,0.725689247585835,-0.3816748918231335
agam,0.23618443143761214,-0.10778220286919556
agama,-0.1005760412323425,0.12984672010790138
agan,-0.03334382632013681,0.1432118759174646
agen,0.7071204401983362,-0.4533242911084568
agenda,0.27883967585256303,-0.13233545263738547
agitasi,0.35889476756529803,-0.19022135935094123
agr,-0.031304675345098565,0.11533335920899848
agre,-0.05987592268949503,-0.08882468559762251
agrement,-0.02755354852503354,-0.0829269702545607
agsr,0.3043057693503143,-0.13225976947892729
agung,0.03900565107991638,0.17337010624787483
agustus,-0.017412769809905405,-0.04615357205513133
ahead,-0.0008626413546456927,0.0019560489328663837
aher,-0.1589233099644356,-0.02354356592712734
