features,g1,g2
Intersep,-0.7840535042450459,0.05913583340221779
abad,-0.1500447407262238,-0.010144094258211386
abadi,0.16739017982701196,-0.07640580761984095
abah,-0.11233356052694841,-0.2225894561641647
abai,0.1996620528009516,-0.09540192689098596
abal,0.6849594481001424,0.2591135467596334
abdi,-0.05717180589492246,0.2574337024071331
abdurahman,-0.01952730929380107,-0.05132475494269519
abud,-0.05654588729187779,0.20308861291870253
abujanda,0.26634205666439675,-0.07473238165638786
abun,-0.06429788435749217,0.20799159655697452
abus,-0.045353358475760074,0.11385002161439767
abw,0.13696223142495512,-0.09235125176972772
abyar,-0.036643390619125644,0.11768005137682704
acak,0.17975461052886113,-0.0991400305599462
acara,-0.10746824198797443,-0.10825109350373396
acau,-0.029499350553013715,0.09393199451789044
aceh,-0.05949277044745982,-0.1662154925724446
achievement,-0.06870870458679494,0.22356904593926097
acord,-0.034877610641283384,0.10642756576327399
acting,-0.05582504043412443,0.1880779779371333
action,-0.013468845997458857,0.028176239119837354
acu,-0.06371265219539521,0.18235011906519105
acuh,0.2809220992290836,-0.17065137031770541
ada,-0.04260630829376083,0.19320959779270874
adab,-0.28252681609718455,-0.1752946508131561
adake,-0.038277545933201484,-0.05147397413356678
adan,0.033042233786075396,0.07845723102546376
adaptasi,-0.027099053586751427,-0.1443685154668402
adat,-0.145815712089739,0.2774681762591419
adavselain,0.15921242818924633,-0.07155202923583073
ade,-0.02049587468987826,0.043370114277910446
adek,0.029257583547144108,0.026378669116282363
adem,0.13795449831088366,0.15589047416138208
adi,-0.10745051121789509,-0.20084956676436996
adik,-0.023309646727269904,0.09768193412618352
adil,-0.22976700615076223,1.272148117982321
adjis,-0.0736613157182898,0.21711330690616482
adminya,-0.0397154569533121,-0.08984111838738744
ado,-0.041307780497607464,-0.1791922293951332
adu,-0.2102526417484488,0.479680823456421
aduh,-0.02821487961491988,-0.12284725624122955
aduhay,-0.07709299803924873,0.21910108050855548
aduk,-0.05387755189927174,0.15955001639863217
aet,-0.035658128456728846,0.08314839708504279
afalah,-0.04591013726891205,-0.1042623663279515
afiliasi,0.11664950521566134,0.10669960893896997
afk,-0.05926834199294044,0.14355086166047473
after,-0.03331015129876542,0.12600642406854135
agam,0.2782583154516354,-0.019305457549748484
agama,0.34492535819084486,0.21437905114622033
agan,-0.03679391703624369,0.09755151588895364
agenda,0.5583576347302395,-0.14846337116944217
agre,-0.036941779207949915,-0.13686862772384603
agustus,-0.04641775217557829,-0.04697713522166388
ahaha,-0.038624770770975175,0.24151602878107917
ahahah,-0.07135138188523801,-0.14860696215487892
ahay,-0.03699106053047131,-0.1669807748623333
ahaye,-0.04309518326100418,-0.14529586167572375
ahirnya,-0.03758484179393689,0.08071699076063593
ahli,-0.1430062110197193,0.3053182027740963
ahlul,-0.07804804205860832,-0.16826133705196106
ahmad,0.16043086284652341,-0.019763548901002043
aibon,-0.08889861342238885,0.14241223520602184
ainun,-0.031381024800039174,0.14357649558210542
airdrop,-0.085968060478287,-0.20255050649749523
airlanga,-0.045054876153464714,-0.597250642808014
aisyiyah,-0.039037989061217096,-0.09037203024822707
aitu,-0.054662355565811456,-0.14731359355423637
aja,0.41923204107994055,-0.30269293668992797
