features,g1,g2
Intersep,-0.7796326685876035,0.1534930025121526
abad,-0.10441300377775531,-0.23330664127795311
abadi,0.05435176992521144,-0.6424013696570201
abah,-0.034067289310692105,-0.0855300825116436
abal,-0.08188553206853993,0.2290414774299933
abas,0.32384348575490335,0.024906844386832327
abdi,-0.1527238060316195,0.18061868777289497
abdul,-0.12274272045843777,-0.09093041693023549
abdurachman,-0.025476919548499174,0.07766872526045537
abis,-0.07291991267012031,-0.19019665565103072
abri,-0.03534763512481734,0.1458156355601381
abud,0.3909781333054338,-0.10243369322843116
abun,-0.026352412521024562,-0.05719016301933103
abw,-0.034892794770584615,0.1641083474477512
acara,-0.2926321221414116,-0.015796315828527953
aceh,-0.06654395688003688,-0.1152288950797108
aco,-0.07004023430094591,-0.11683711521641083
acung,-0.07656101399593185,-0.17116740596142369
ada,0.34155348278832864,-0.42423268706609496
adab,-0.04252612469238921,0.18378899382711714
adakan,0.14155868199568233,-0.06621728328363502
adegan,-0.042672494637004184,0.1351833276213492
adil,-0.37921696716549147,1.1452064020270323
admin,-0.2498135961051952,0.18425479551120144
adminya,0.25681479971625587,-0.2491122186170727
adopsi,0.22895765866588938,-0.11419693388631155
adu,-0.11354210255636309,0.17494502203870724
aduh,0.12485196449643877,0.020302149477482576
afganistan,-0.0550372173352174,0.16774273157549335
afiliasi,-0.029244074892000035,-0.07409154042483823
agal,0.37423305743747365,-0.13403937108036323
agam,-0.02912341672070079,-0.054998426037391634
agama,0.225863436236104,-0.5450654287262633
agenda,-0.020308617033350577,0.13512840227347242
agustus,-0.028939384899896,-0.16065703338061932
ahli,0.19397932984603383,0.3480951293383597
ahmad,-0.09578130408768533,0.25323586546364746
aibon,-0.10167627660507389,0.07941158296402573
aipa,-0.034522865306074305,-0.0764727615353729
airlanga,-0.08984188418346534,0.33195620846254653
aja,0.4189791365228175,-0.23749618507845022
ajah,-0.07383114301530744,-0.1649727081434979
ajaib,-0.025394580624367738,0.12831103007082223
ajak,0.07492611297719431,-0.01771349338297496
ajang,-0.029873411501094183,-0.05767141165680422
ajar,-0.30483484069641104,0.48479056625038025
ajlah,-0.057759178271976803,0.36406830104648297
aju,0.2874734424970806,-0.1831832140330801
akak,-0.0707546212566675,-0.13310884461478606
akan,-0.023673465554619102,0.13171280775775304
akar,-0.04796952395733096,0.08774749988080464
akhir,-0.03756355332728334,-0.09356233061122385
akibat,0.1799913452753419,0.023288020414288103
akrab,-0.25294067282360944,1.464956847842699
aksi,-0.07651078306698351,0.25688611301723224
aktif,0.27644532154465157,-0.018741414806717642
aktifitasnya,-0.01731995511998472,0.13552071811513527
aktivitas,-0.1577598451129342,0.5710725245432183
aku,-0.22422806286201907,0.2209621519613746
akun,0.1337013523757941,0.11728574926669831
akusih,-0.022520934998544122,0.3307016340230123
alahuma,-0.04764000493814469,0.13697596478545487
alaikum,-0.07230071739186397,-0.10879233690470562
alam,-0.15659868887715864,0.29737690104968856
alamain,-0.06913209539811818,-0.17807658012970404
alami,-0.061014350211226004,0.1186698306369052
alamin,-0.23664242477173436,0.3302375201088773
alangkah,-0.0283864587148697,0.08879516421405494
alas,0.5609069013469068,-0.14409543367715263
alasanya,0.2301690548223742,-0.1369552208389235
alat,-0.0642299043801443,0.031038672817140914
ale,-0.04475246578335412,0.13119191211375694
alek,-0.05925903244425328,-0.15290846881794937
alhamdulilah,-0.21117742753673963,-0.19472119284775083
aliansi,0.30990743538562854,-0.15612246964396204
alias,0.1868241969536426,-0.16678699390128932
alih,-0.039283935959082625,0.09547862834722758
alir,-0.14466253569514834,-0.2681484585082239
aliranya,-0.029352780760329024,0.10376591441193901
alkisah,0.18074542904783106,-0.08263771757730573
almarhum,0.49997506637750255,-0.16773330633174857
alokasi,-0.0524211147926182,-0.12304424263783938
alutsista,-0.09619111507199228,0.3341093824948294
amal,-0.0664280406229538,0.12979255127346886
aman,-0.173819719503869,0.6078600344711906
amanah,-0.025420221524241622,0.5675358688369119
amanat,-0.017454084625031004,-0.09236575568879304
amandemen,-0.03940726411821153,-0.08061056496801537
amat,-0.10440764954936047,0.15031458723618463
ambang,-0.09171865628488804,0.3435618921579373
ambek,0.22800175326035707,-0.11346288971915033
ambi,-0.05087375696656411,-0.1466003933221737
ambil,-0.05476518068356489,0.011689075008464205
ambisi,-0.08990911476988948,0.05904757312074984
ambo,-0.07250466405693183,-0.11299122500926162
ambruadul,0.220460552016013,-0.0703321224613096
ambruk,-0.06807396456760834,-0.18539977338382446
ambusuk,-0.04040078928783072,-0.07310737673930306
ambyar,-0.033384267866046584,0.13974674186914543
amerika,-0.09473991995267612,0.20670346804476583
amies,0.13024062139916226,-0.29757040342835134
amis,-0.03421441720030552,0.12269176396862286
amoh,-0.05419609176835194,0.1682443926785639
ampas,-0.06656586840165231,-0.1360520196533939
ampun,-0.06064700547654377,-0.07745923957424213
anak,0.25573140452829435,-0.2054548347396825
anakbuah,0.37423305743747365,-0.13403937108036323
anake,-0.10441300377775531,-0.23330664127795311
analisa,-0.09476917498583713,-0.03648447479250077
ancang,-0.015829210404540557,0.06567276767579666
anda,0.16632629482046757,0.1671914108691325
andai,-0.0884353131738411,-0.21484989317185477
andal,-0.09198206940558801,0.08601804451506154
andika,0.4923489765824591,-0.49911366794809103
andre,-0.05255882536471685,0.03331863142866795
aneh,0.26650713845666074,0.03689016170550708
angap,0.34057573503959443,-0.13348444935448636
angaran,0.16114774486018257,-0.2502404758580503
angepan,0.23247525453367657,-0.09684292799247707
angkat,-0.24345219869322568,-0.12011677564429123
angku,-0.036252332028465915,-0.05649561250463081
angota,0.529720679760574,-0.21852669840245234
anieslah,-0.022400176116430023,0.10151047675760046
anjing,0.16235072214087684,-0.0609124613757117
anjs,-0.05634630846138773,-0.09872806359795071
antar,-0.07298427676795458,0.24228782209476593
antek,-0.03279039832442046,0.09071599976310406
anti,-0.12316903327819315,-0.6543958498102989
antitesa,-0.09441590145924503,-0.22364046380024455
antusias,-0.2088826403152317,0.6974986588380432
anwar,-0.03823592279743175,-0.1136372516585712
aoka,-0.0458111551974038,0.18072021106990202
apa,-0.22318352167322553,0.10499340291345159
apapa,-0.04141247899987289,0.08306725533982387
apbd,0.22098311476031843,-0.08293822305016281
apkh,-0.08224959835045817,0.1431658346592032
aplg,0.30922559394344884,-0.19822578981981437
apresiasi,-0.06571541691210196,0.0026331805181179922
arab,0.041357763273878155,0.12551865197978374
arah,-0.4835501667885739,0.9655627603532633
aral,-0.04638271552858797,-0.15077361363775665
aras,-0.014776480551111887,0.037409881277868706
arasen,-0.014776480551111887,0.037409881277868706
area,-0.018888865862883377,0.059507340365331035
argumen,-0.03908306154380476,0.2352181595464551
arief,-0.07869517632807728,0.051108345973437865
arif,-0.13193385577773498,-0.05444827028218993
arisan,-0.10441300377775531,-0.23330664127795311
arus,-0.05270456310802406,0.23392406813813807
asa,-0.09057566722855129,0.01702022704724037
asai,-0.029825353135692807,0.09544840903663798
asal,-0.06927919207138333,-0.10483925601946367
asalamu,-0.07230071739186397,-0.10879233690470562
asalamualaikum,-0.08420308346535783,-0.00940429037131039
asbak,0.22223500361016726,-0.11227479348063125
asean,-0.10263431399297977,-0.11125343955016574
aset,-0.030600026449911638,-0.08601977908979386
ashidiqie,-0.04581082815640133,0.18510113947240506
asia,-0.025145714272421665,-0.07469075723460816
asih,0.1788737549022975,-0.2451819731557439
asing,0.36461569122448056,-0.15213454939994592
asli,-0.17981572760916933,1.0232197723119818
aslkm,0.14155868199568233,-0.06621728328363502
asn,0.14058731670231392,-0.01671980616460015
aspek,-0.03728100844517114,0.13492554454639424
aspirasi,-0.10342918083365274,-0.18456826891567193
asumsi,-0.05634630846138773,-0.09872806359795071
asuransi,0.257302165055707,-0.12516955006038508
asy,-0.026054173520441398,0.1086790335763716
asyik,-0.02069558847354185,0.2626301194752953
